epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,3122.62,0.49878,0.48404,0.87192,0.99735,0.90476,0.93461,0.77025,0.721,0.71896,0.92846,0.0004556,0.0004556,0.0004556
80,3162.52,0.55886,0.50045,0.85604,0.99749,0.90476,0.94103,0.75856,0.73468,0.76153,0.93681,0.0004358,0.0004358,0.0004358
81,3202.42,0.49995,0.47369,0.85309,0.99776,0.90476,0.94533,0.77356,0.68393,0.75979,0.92132,0.000416,0.000416,0.000416
82,3242.34,0.52211,0.52994,0.87015,0.9983,0.90476,0.94692,0.78029,0.66539,0.74687,0.92013,0.0003962,0.0003962,0.0003962
83,3282.41,0.48974,0.48298,0.85734,0.99903,0.90476,0.95283,0.79934,0.66725,0.7508,0.92343,0.0003764,0.0003764,0.0003764
84,3322.43,0.4926,0.49911,0.85744,1,0.90393,0.95065,0.79494,0.68575,0.73849,0.91668,0.0003566,0.0003566,0.0003566
85,3362.18,0.45185,0.47416,0.82657,1,0.90401,0.94869,0.79722,0.70555,0.72636,0.91685,0.0003368,0.0003368,0.0003368
86,3402.19,0.4692,0.46572,0.88489,1,0.90326,0.94869,0.78478,0.72147,0.72451,0.92198,0.000317,0.000317,0.000317
87,3442.3,0.4271,0.44593,0.83287,1,0.90337,0.94871,0.79704,0.71162,0.71722,0.92277,0.0002972,0.0002972,0.0002972
88,3482.32,0.52526,0.50351,0.88401,1,0.90364,0.9469,0.79813,0.67934,0.70839,0.9157,0.0002774,0.0002774,0.0002774
89,3522.3,0.49555,0.48347,0.86556,1,0.90375,0.94691,0.78598,0.68568,0.7131,0.91489,0.0002576,0.0002576,0.0002576
90,3562.34,0.49649,0.48689,0.86231,1,0.90374,0.94687,0.78642,0.70466,0.72174,0.91591,0.0002378,0.0002378,0.0002378
91,3602.47,0.41744,0.51972,0.83476,1,0.90351,0.94525,0.78646,0.72654,0.73442,0.9197,0.000218,0.000218,0.000218
92,3642.37,0.42823,0.54034,0.83472,1,0.90233,0.93996,0.77048,0.76752,0.7655,0.93386,0.0001982,0.0001982,0.0001982
93,3681.9,0.40556,0.49724,0.80771,1,0.90205,0.94257,0.77204,0.78042,0.78837,0.93785,0.0001784,0.0001784,0.0001784
94,3721.32,0.3919,0.50016,0.83142,1,0.90192,0.9425,0.76048,0.78458,0.79945,0.93733,0.0001586,0.0001586,0.0001586
95,3760.89,0.40083,0.51585,0.81365,1,0.90194,0.94124,0.76399,0.7744,0.80841,0.93264,0.0001388,0.0001388,0.0001388
96,3800.56,0.37773,0.49769,0.82258,1,0.90199,0.94929,0.794,0.73927,0.8087,0.92303,0.000119,0.000119,0.000119
97,3840.08,0.4403,0.52792,0.83687,1,0.90216,0.95001,0.79917,0.72664,0.79834,0.91874,9.92e-05,9.92e-05,9.92e-05
98,3879.52,0.36542,0.48251,0.84838,1,0.90251,0.95288,0.79998,0.7193,0.79314,0.91705,7.94e-05,7.94e-05,7.94e-05
99,3919.44,0.38679,0.48274,0.81256,1,0.90256,0.95457,0.8004,0.71461,0.78688,0.91719,5.96e-05,5.96e-05,5.96e-05
100,3959.04,0.35452,0.46468,0.82512,1,0.90283,0.95983,0.79803,0.71613,0.77671,0.91971,3.98e-05,3.98e-05,3.98e-05
